zip_code,city,subtype,competitor_count,avg_stars,avg_review_count,avg_price_range,pct_open,avg_review_rating,avg_business_age,total_restaurants,overall_avg_stars,overall_avg_reviews,restaurant_diversity,total_population,median_age,pct_white,pct_black,pct_asian,pct_hispanic,competition_density,subtype_market_share,rating_advantage,population_per_restaurant
07836,Flanders,American,1,3.0,17.0,3.0,0.0,2.9411764705882355,4.999315537303217,1,3.0,17.0,1,12104.0,44.0,72.97,2.15,6.03,0.12,8.261049153242462e-05,0.5,0.0,6052.0
07882,Washington,General,1,3.0,10.0,2.0,1.0,2.9,4.635181382614648,1,3.0,10.0,1,14918.0,43.3,77.91,5.29,3.93,0.34,6.702862122126148e-05,0.5,0.0,7459.0
08001,Alloway,American,1,3.5,13.0,1.0,1.0,3.6923076923076925,10.77618069815195,2,3.75,9.0,2,931.0,50.8,91.62,3.33,0.0,0.0,0.001072961373390558,0.3333333333333333,-0.25,310.3333333333333
08001,Alloway,Cafe,1,4.0,5.0,2.0,1.0,4.2,6.951403148528406,2,3.75,9.0,2,931.0,50.8,91.62,3.33,0.0,0.0,0.001072961373390558,0.3333333333333333,0.25,310.3333333333333
08002,Cherry Hill,American,29,3.1724137931034484,118.6896551724138,1.7857142857142858,0.6551724137931034,3.1728372939555207,7.765583327432792,178,3.3735955056179776,76.85955056179775,18,23574.0,39.6,66.0,9.38,11.86,0.5,0.001230116648992577,0.16201117318435754,-0.2011817125145292,131.69832402234636
08002,Cherry Hill,Breakfast,6,3.1666666666666665,126.16666666666667,1.8,0.8333333333333334,3.1937274202001515,7.546885694729636,178,3.3735955056179776,76.85955056179775,18,23574.0,39.6,66.0,9.38,11.86,0.5,0.0002545068928950159,0.0335195530726257,-0.2069288389513111,131.69832402234636
08002,Cherry Hill,Chinese,8,3.375,52.875,1.4285714285714286,0.5,3.366122870965683,7.506844626967831,178,3.3735955056179776,76.85955056179775,18,23574.0,39.6,66.0,9.38,11.86,0.5,0.0003393425238600212,0.0446927374301676,0.001404494382022392,131.69832402234636
08002,Cherry Hill,Dessert,5,3.7,189.8,1.8,0.4,3.6941292633495095,5.274195756331279,178,3.3735955056179776,76.85955056179775,18,23574.0,39.6,66.0,9.38,11.86,0.5,0.00021208907741251324,0.027932960893854747,0.32640449438202257,131.69832402234636
08002,Cherry Hill,Diner,3,3.3333333333333335,278.6666666666667,2.0,0.6666666666666666,3.286428110896196,10.172940908053844,178,3.3735955056179776,76.85955056179775,18,23574.0,39.6,66.0,9.38,11.86,0.5,0.00012725344644750795,0.01675977653631285,-0.04026217228464413,131.69832402234636
08002,Cherry Hill,Fast Food,13,2.6538461538461537,36.76923076923077,1.0833333333333333,1.0,2.679343393088134,7.200547570157426,178,3.3735955056179776,76.85955056179775,18,23574.0,39.6,66.0,9.38,11.86,0.5,0.0005514316012725345,0.07262569832402235,-0.7197493517718239,131.69832402234636
